Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t77,0.0,1599.9999521390637,856.8579562117052,759.9999618553029,1859.253007063802,-917.8324673898361,1299.9999362524943,-493.48945930952766,646.72937237038,4299.999626726943,-1509.9999365409706,2704.7691874394304,4590.9937153333485,2295.7861984271026,0.00020106107594352463,1265.224186671563,-599.9999499929397
t78,0.0,1599.999947410972,856.8579527887122,759.9999592002076,1870.2914801462844,-867.7243394948582,1299.999939533978,-547.5253988818132,734.6936954890465,4299.999624525737,-1509.9999332985299,2827.081009371312,5280.364595563055,1774.025516450625,0.000190458206019554,821.466121827665,-599.9999482453612
t79,0.0,1599.9999361718665,856.8579429851088,759.999948513465,1871.1356885757525,-815.4180816077591,1299.9999288144413,-585.1934026656444,721.152507572765,4299.999615613472,-1509.999929309042,2817.129863091373,5898.334791201899,1131.3077271889088,0.0002532403407890866,164.50891414104598,-599.9999474319075
t80,0.0,207.27742134134402,856.857310626442,759.9997872534575,1805.4207851461483,-703.3542342492682,1299.9999357151733,-565.9829996256619,763.3005861105095,4299.999616423554,-1509.9999378677492,1775.464607156353,5041.6765229631865,958.8518564437546,0.00019920597748085194,0.0004961615288214063,-599.9999469419715
t81,0.0,462.65278541007694,856.8572847953525,759.9997619031319,1180.6189343815142,-0.000432437638017434,643.3857575835393,-796.5725086488857,0.0013805927733361646,4299.999586039824,-712.4545105584278,1917.75062987471,4439.700489367366,1649.431468516634,0.00023364243733800454,619.8956856975335,-599.9999008314187
t82,0.0,-1396.6663721131458,-4.7510519817498586e-5,1.733952492825196e-5,1359.7579859924708,999.9999185434833,862.2812404235784,-1484.312693862743,4686.241362740399,4299.999616276363,1509.999783486784,4271.946800107903,5164.548564511792,1931.597132745841,0.0003240988012191561,-23.532382507710135,599.997778789273
t83,0.0,-1599.9998301719063,-728.6415050598582,-0.00011701720585742432,1799.6492997220848,999.9999298480983,1233.0342107946105,-1421.7527561535614,6499.981516150828,4299.9996864797995,1509.9998231323402,6585.845274755182,6327.973443729543,2148.741667486686,0.0002935748524943393,-23.36927156453843,599.9982137455214
t84,0.0,-1599.999879423336,-856.8577225605549,-395.4951694962209,1492.4980462115843,999.9999310630584,913.5324158105166,-1369.582137399384,6499.977813944977,4299.999628413348,1509.9998193628396,6714.6979944821505,6148.208381266885,2352.2611428030473,0.00030413158440406997,-188.10659382291007,599.9982136283431
t85,0.0,-1599.9999257403144,-856.8579040720276,-759.9998533670049,1516.1908349603889,999.9999309025818,853.1754385897685,-1258.0340992767854,6499.978280323864,4299.999623216495,1509.9998191795548,6746.55099997381,6015.633349066187,2435.424333849643,0.00029816834565682344,-550.5816146169235,599.9982227455167
t86,0.0,-1599.9999284910746,-856.8579049757627,-759.9998476700442,1434.9396455832473,999.9999323366156,718.361275421512,-1261.3270807410913,6499.978522317027,4299.999637625502,1509.9998233595613,6768.904809216296,6010.221072983495,2406.660212101172,0.0002992119295641016,-639.9103748990758,599.9982482387924
t87,0.0,-1599.9999314678134,-856.857907719694,-759.9998708021334,1449.2638590832541,999.999931276057,670.9737244392592,-1309.5400449830836,6499.976729803015,4299.999629373079,1509.9998289505086,6780.226062104843,6031.232047259787,2361.283061590396,0.0002877424420725272,-759.5914774048856,599.9980565806262
