model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region
GenX,NWPP_to_RMRG,2040,20-week-foresight,MW,1065.0,,32.0,NWPP,RMRG
GenX,NYCW_to_NYUP,2040,20-week-foresight,MW,0.0,,33.0,NYCW,NYUP
GenX,NYCW_to_PJME,2040,20-week-foresight,MW,2302.0,,34.0,NYCW,PJME
GenX,NYUP_to_PJME,2040,20-week-foresight,MW,6.0,,35.0,NYUP,PJME
GenX,PJMC_to_PJMW,2040,20-week-foresight,MW,2.0,,36.0,PJMC,PJMW
GenX,PJMD_to_PJME,2040,20-week-foresight,MW,15.0,,37.0,PJMD,PJME
GenX,PJMD_to_PJMW,2040,20-week-foresight,MW,0.0,,38.0,PJMD,PJMW
GenX,PJMD_to_SRCA,2040,20-week-foresight,MW,74.0,,39.0,PJMD,SRCA
GenX,PJME_to_PJMW,2040,20-week-foresight,MW,13975.0,,40.0,PJME,PJMW
GenX,PJMW_to_SRCA,2040,20-week-foresight,MW,0.0,,41.0,PJMW,SRCA
GenX,PJMW_to_SRCE,2040,20-week-foresight,MW,0.0,,42.0,PJMW,SRCE
GenX,RMRG_to_SPPC,2040,20-week-foresight,MW,3.0,,43.0,RMRG,SPPC
GenX,RMRG_to_SPPN,2040,20-week-foresight,MW,999.0,,44.0,RMRG,SPPN
GenX,RMRG_to_SRSG,2040,20-week-foresight,MW,0.0,,45.0,RMRG,SRSG
GenX,SPPC_to_SPPN,2040,20-week-foresight,MW,1.0,,46.0,SPPC,SPPN
GenX,SPPC_to_SPPS,2040,20-week-foresight,MW,1.0,,47.0,SPPC,SPPS
GenX,SPPN_to_SPPS,2040,20-week-foresight,MW,1.0,,48.0,SPPN,SPPS
GenX,SPPS_to_SRSG,2040,20-week-foresight,MW,2905.0,,49.0,SPPS,SRSG
GenX,SPPS_to_TRE,2040,20-week-foresight,MW,0.0,,50.0,SPPS,TRE
GenX,SPPS_to_TREW,2040,20-week-foresight,MW,3.0,,51.0,SPPS,TREW
GenX,SRCA_to_SRCE,2040,20-week-foresight,MW,1.0,,52.0,SRCA,SRCE
GenX,SRCA_to_SRSE,2040,20-week-foresight,MW,0.0,,53.0,SRCA,SRSE
GenX,SRCE_to_SRSE,2040,20-week-foresight,MW,0.0,,54.0,SRCE,SRSE
GenX,TREW_to_TRE,2040,20-week-foresight,MW,0.0,,55.0,TREW,TRE
GenX,NWPP_to_SPPN,2040,20-week-foresight,MW,715.0,,56.0,NWPP,SPPN
