case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2050,Geothermal,CA,30.7
20-week-foresight,2050,Geothermal,MISO,
20-week-foresight,2050,Geothermal,NE,
20-week-foresight,2050,Geothermal,PJM,
20-week-foresight,2050,Geothermal,SOU,
20-week-foresight,2050,Geothermal,SPP,
20-week-foresight,2050,Geothermal,TRE,
20-week-foresight,2050,Geothermal,WECC,117.0
20-week-foresight,2050,Hydro,CA,10977.0
20-week-foresight,2050,Hydro,MISO,7720.3
20-week-foresight,2050,Hydro,NE,7802.7
20-week-foresight,2050,Hydro,PJM,7308.3
20-week-foresight,2050,Hydro,SOU,9170.7
20-week-foresight,2050,Hydro,SPP,4788.0
20-week-foresight,2050,Hydro,TRE,235.7
20-week-foresight,2050,Hydro,WECC,34515.0
20-week-foresight,2050,Hydrogen,CA,13.5
20-week-foresight,2050,Hydrogen,MISO,33.5
20-week-foresight,2050,Hydrogen,NE,35.5
20-week-foresight,2050,Hydrogen,PJM,29.0
20-week-foresight,2050,Hydrogen,SOU,18.5
20-week-foresight,2050,Hydrogen,SPP,21.5
20-week-foresight,2050,Hydrogen,TRE,12.5
20-week-foresight,2050,Hydrogen,WECC,31.5
20-week-foresight,2050,Natural Gas CC,CA,19519.3
20-week-foresight,2050,Natural Gas CC,MISO,55855.3
20-week-foresight,2050,Natural Gas CC,NE,39323.0
20-week-foresight,2050,Natural Gas CC,PJM,58230.7
20-week-foresight,2050,Natural Gas CC,SOU,63218.7
20-week-foresight,2050,Natural Gas CC,SPP,11004.0
20-week-foresight,2050,Natural Gas CC,TRE,36814.3
20-week-foresight,2050,Natural Gas CC,WECC,28459.3
20-week-foresight,2050,Natural Gas CT,CA,10065.7
20-week-foresight,2050,Natural Gas CT,MISO,24508.7
20-week-foresight,2050,Natural Gas CT,NE,3908.7
20-week-foresight,2050,Natural Gas CT,PJM,22648.0
20-week-foresight,2050,Natural Gas CT,SOU,21613.3
20-week-foresight,2050,Natural Gas CT,SPP,9179.0
20-week-foresight,2050,Natural Gas CT,TRE,8726.3
20-week-foresight,2050,Natural Gas CT,WECC,8157.7
