zone,value,planning_year,model,agg_zone,case
17.0,1655.6139180964474,2045,GenX,,full-base-50
18.0,1096.1574710606722,2045,GenX,,full-base-50
19.0,0.1617534361478562,2045,GenX,,full-base-50
20.0,1590.6744235951105,2045,GenX,,full-base-50
21.0,6137.434924645344,2045,GenX,,full-base-50
22.0,10665.82190939327,2045,GenX,,full-base-50
23.0,4476.744972342985,2045,GenX,,full-base-50
24.0,5433.592909951847,2045,GenX,,full-base-50
25.0,19218.34556444688,2045,GenX,,full-base-50
26.0,0.1479522368403155,2045,GenX,,full-base-50
1.0,16572.567721297037,2050,GenX,,full-base-50
2.0,2.9600084807795115,2050,GenX,,full-base-50
3.0,4037.191493958067,2050,GenX,,full-base-50
4.0,5669.359413708417,2050,GenX,,full-base-50
5.0,103530.6298518579,2050,GenX,,full-base-50
6.0,7374.373124547894,2050,GenX,,full-base-50
7.0,2071.2868512008463,2050,GenX,,full-base-50
8.0,2244.181610076475,2050,GenX,,full-base-50
9.0,17930.663179880183,2050,GenX,,full-base-50
10.0,27274.450762766533,2050,GenX,,full-base-50
11.0,28422.504977321176,2050,GenX,,full-base-50
12.0,2.45034562144366,2050,GenX,,full-base-50
13.0,90.56505591087604,2050,GenX,,full-base-50
14.0,2.842151607354944,2050,GenX,,full-base-50
15.0,3.048626885558799,2050,GenX,,full-base-50
16.0,3769.092047934674,2050,GenX,,full-base-50
17.0,2407.597668086149,2050,GenX,,full-base-50
18.0,3623.275415777953,2050,GenX,,full-base-50
19.0,2.6206178873815045,2050,GenX,,full-base-50
20.0,1153.3441137413704,2050,GenX,,full-base-50
21.0,7596.554825052908,2050,GenX,,full-base-50
22.0,14572.531402212016,2050,GenX,,full-base-50
23.0,7639.92075437703,2050,GenX,,full-base-50
24.0,10516.975376971037,2050,GenX,,full-base-50
25.0,18560.22800775664,2050,GenX,,full-base-50
26.0,2.3134724952393717,2050,GenX,,full-base-50
1.0,2.0045287424858063,2035,GenX,,full-base-50
2.0,2.075268598630604,2035,GenX,,full-base-50
3.0,2.5664383160840254,2035,GenX,,full-base-50
4.0,1.969967703934651,2035,GenX,,full-base-50
5.0,89349.46805735095,2035,GenX,,full-base-50
6.0,1.998109181703091,2035,GenX,,full-base-50
7.0,1.8957510268991111,2035,GenX,,full-base-50
8.0,1.900998878622272,2035,GenX,,full-base-50
9.0,903.1539552716746,2035,GenX,,full-base-50
10.0,5664.028106281273,2035,GenX,,full-base-50
11.0,18297.07622333476,2035,GenX,,full-base-50
12.0,1.813928912253192,2035,GenX,,full-base-50
13.0,1.8974664330931228,2035,GenX,,full-base-50
14.0,2.018868788746355,2035,GenX,,full-base-50
15.0,2.118871491066209,2035,GenX,,full-base-50
16.0,2.0706576497782985,2035,GenX,,full-base-50
17.0,1.87629491032923,2035,GenX,,full-base-50
18.0,1.8676894182642632,2035,GenX,,full-base-50
19.0,1.8034104540460147,2035,GenX,,full-base-50
20.0,1.865242101145775,2035,GenX,,full-base-50
21.0,1.9464005355135163,2035,GenX,,full-base-50
22.0,2.1319463970659003,2035,GenX,,full-base-50
23.0,1.953172578969272,2035,GenX,,full-base-50
24.0,1.980844601849552,2035,GenX,,full-base-50
25.0,2.0812038055953592,2035,GenX,,full-base-50
26.0,1.717584718386004,2035,GenX,,full-base-50
1.0,0.0006819041248923,2030,GenX,,full-base-50
2.0,0.0007054738225891,2030,GenX,,full-base-50
3.0,0.0007710241196164,2030,GenX,,full-base-50
4.0,0.0006597153516141,2030,GenX,,full-base-50
5.0,32644.96454055468,2030,GenX,,full-base-50
6.0,0.0006719444912545,2030,GenX,,full-base-50
7.0,0.0006852542064331,2030,GenX,,full-base-50
8.0,0.0006601009504967,2030,GenX,,full-base-50
9.0,0.0006921762553085,2030,GenX,,full-base-50
10.0,0.0007088844845447,2030,GenX,,full-base-50
11.0,2784.897587912084,2030,GenX,,full-base-50
12.0,0.0006789299615155,2030,GenX,,full-base-50
13.0,0.0006726140521645,2030,GenX,,full-base-50
14.0,0.0006934453554016,2030,GenX,,full-base-50
15.0,0.0006947967237776,2030,GenX,,full-base-50
16.0,0.0006712786794391,2030,GenX,,full-base-50
17.0,0.0006669251789526,2030,GenX,,full-base-50
18.0,0.0006688914005308,2030,GenX,,full-base-50
19.0,0.0006632459178191,2030,GenX,,full-base-50
20.0,0.0006611156586802,2030,GenX,,full-base-50
21.0,0.0006605452227162,2030,GenX,,full-base-50
22.0,0.000677190658296,2030,GenX,,full-base-50
23.0,0.0006587120540146,2030,GenX,,full-base-50
24.0,0.0006716059297534,2030,GenX,,full-base-50
25.0,0.0006670846973698,2030,GenX,,full-base-50
26.0,0.0006556250621924,2030,GenX,,full-base-50
1.0,3.464133572684163,2027,USENSYS,,full-base-200
2.0,3.565840247058492,2027,USENSYS,,full-base-200
3.0,3.5921737683367985,2027,USENSYS,,full-base-200
4.0,3.765038646198148,2027,USENSYS,,full-base-200
5.0,105.2607344955663,2027,USENSYS,,full-base-200
6.0,3.694764429263763,2027,USENSYS,,full-base-200
7.0,3.6077160016494334,2027,USENSYS,,full-base-200
8.0,3.7192520502415096,2027,USENSYS,,full-base-200
9.0,3.7595661714343422,2027,USENSYS,,full-base-200
10.0,3.609522322898169,2027,USENSYS,,full-base-200
11.0,3.600770220504286,2027,USENSYS,,full-base-200
12.0,3.5809289637054924,2027,USENSYS,,full-base-200
13.0,3.6227692220571033,2027,USENSYS,,full-base-200
14.0,3.683861516442148,2027,USENSYS,,full-base-200
15.0,3.795144750677834,2027,USENSYS,,full-base-200
16.0,3.7373832565012752,2027,USENSYS,,full-base-200
17.0,3.4537000280436247,2027,USENSYS,,full-base-200
18.0,3.607405976970087,2027,USENSYS,,full-base-200
19.0,3.550049184209797,2027,USENSYS,,full-base-200
20.0,3.610162458407535,2027,USENSYS,,full-base-200
21.0,3.704539002390079,2027,USENSYS,,full-base-200
22.0,3.684156396080149,2027,USENSYS,,full-base-200
23.0,3.757285722413727,2027,USENSYS,,full-base-200
24.0,3.596238277485657,2027,USENSYS,,full-base-200
25.0,3.84312601450139,2027,USENSYS,,full-base-200
26.0,3.443335313875465,2027,USENSYS,,full-base-200
1.0,6.091030866317673,2040,USENSYS,,full-base-200
2.0,6.015098875107441,2040,USENSYS,,full-base-200
3.0,5.911155527239015,2040,USENSYS,,full-base-200
4.0,5.9374588739641645,2040,USENSYS,,full-base-200
5.0,6.003470036875893,2040,USENSYS,,full-base-200
6.0,5.980549397119869,2040,USENSYS,,full-base-200
7.0,6.105392176508608,2040,USENSYS,,full-base-200
