Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,108,12031,11867,18341,29421,23287,23219,12992,19383,28215,27517,10865,9716,14660,13993,40649,41537,10349,8934,5637,13825,26528,26445,28823,14641,46630,2164
,,,,,,,,109,11888,11911,18394,27931,22484,22594,12877,18728,27759,26041,10732,9643,14379,13691,39797,40553,10262,8691,5551,13382,25661,25538,28036,14186,44964,2070
,,,,,,,,110,11769,12143,18753,26770,21823,22030,12772,18361,27568,26453,10557,9523,14121,13420,39225,39759,10199,8495,5485,13126,24899,24751,27169,13863,43822,2009
,,,,,,,,111,11493,12240,18901,26308,21602,21581,12642,18099,27314,25514,10482,9474,13926,13304,38713,39013,10199,8349,5450,12810,24565,24157,26631,13661,43052,1968
,,,,,,,,112,11413,12278,18959,26809,21735,21298,12568,17972,26990,24976,10486,9466,13765,13395,39012,38885,10219,8224,5407,12658,25184,24319,26967,13488,42425,1937
,,,,,,,,113,11285,12314,19014,29202,22811,21594,12750,18113,27240,24626,10700,9568,13692,14020,41151,40180,10380,8229,5434,12630,27645,25648,28590,13398,42307,1932
,,,,,,,,114,11289,12340,19056,32945,25255,22836,13596,18798,28704,24494,11360,10010,14329,15473,45322,43220,10744,8490,5643,12851,30223,28138,31837,13535,42704,1956
,,,,,,,,115,11583,12444,19220,33129,27202,24242,14010,19951,30803,24989,12011,10598,15319,15793,44915,44236,11378,9137,5938,13655,30195,28711,32499,13917,44642,2051
,,,,,,,,116,12369,12743,19694,32190,27297,23984,13630,20574,30102,26859,11925,10522,15041,15518,43925,43448,12240,9256,5922,14216,29816,28268,31835,15026,47061,2159
,,,,,,,,117,13170,13947,21565,30457,27139,23365,13206,20276,28874,29272,11737,10341,14720,15295,43085,42667,11913,8942,5716,13993,29080,27671,30843,15812,46406,2123
,,,,,,,,118,12817,13781,21312,28300,20497,22746,12597,19974,27868,28889,10699,9594,14371,14730,40325,40905,11286,8698,5539,13827,27587,26766,29250,15497,45695,2089
,,,,,,,,119,12392,13051,20183,26129,18707,21767,11875,19121,26123,27657,10129,9120,13738,13814,37693,38780,10898,8274,5236,13371,26284,25588,27704,15025,43996,2006
