Zone,value,zone,planning_year,model,agg_zone,case
12,5.786620667126419,NYUP,2027,TEMOA,NE,full-base-200
13,5.8240658984895255,PJMC,2027,TEMOA,PJM,full-base-200
14,5.818876530901199,PJMD,2027,TEMOA,PJM,full-base-200
15,5.934421961338079,PJME,2027,TEMOA,PJM,full-base-200
16,5.87825333181713,PJMW,2027,TEMOA,PJM,full-base-200
17,5.773687930705048,RMRG,2027,TEMOA,WECC,full-base-200
18,5.786956803243947,SPPC,2027,TEMOA,SPP,full-base-200
19,5.756024190378675,SPPN,2027,TEMOA,SPP,full-base-200
20,5.812798547886633,SPPS,2027,TEMOA,SPP,full-base-200
21,5.8221340176200815,SRCA,2027,TEMOA,SOU,full-base-200
22,5.849741496651572,SRCE,2027,TEMOA,MISO,full-base-200
23,5.888278590632077,SRSE,2027,TEMOA,SOU,full-base-200
24,5.797063249286071,SRSG,2027,TEMOA,WECC,full-base-200
25,6.002267655815807,TRE,2027,TEMOA,TRE,full-base-200
26,5.738438287410202,TREW,2027,TEMOA,TRE,full-base-200
1,2.679291324233484,BASN,2030,TEMOA,WECC,full-base-200
2,2.514679748569429,CANO,2030,TEMOA,CA,full-base-200
3,2.4542062874682604,CASO,2030,TEMOA,CA,full-base-200
4,2.376402822338968,FRCC,2030,TEMOA,SOU,full-base-200
5,16083.111432040274,ISNE,2030,TEMOA,NE,full-base-200
6,2.4558403098126877,MISC,2030,TEMOA,MISO,full-base-200
7,2.466634185773298,MISE,2030,TEMOA,MISO,full-base-200
8,2.454465060727709,MISS,2030,TEMOA,MISO,full-base-200
9,2.3022976016292303,MISW,2030,TEMOA,MISO,full-base-200
10,2.515379792471174,NWPP,2030,TEMOA,WECC,full-base-200
11,42.88538041806601,NYCW,2030,TEMOA,NE,full-base-200
12,2.6431273479552724,NYUP,2030,TEMOA,NE,full-base-200
13,2.7258653337057672,PJMC,2030,TEMOA,PJM,full-base-200
14,2.5563750999006856,PJMD,2030,TEMOA,PJM,full-base-200
15,2.4849846535059466,PJME,2030,TEMOA,PJM,full-base-200
16,2.628276422594257,PJMW,2030,TEMOA,PJM,full-base-200
17,2.3931198433166307,RMRG,2030,TEMOA,WECC,full-base-200
18,2.488649093553,SPPC,2030,TEMOA,SPP,full-base-200
19,2.464795919640536,SPPN,2030,TEMOA,SPP,full-base-200
20,2.5385615462646887,SPPS,2030,TEMOA,SPP,full-base-200
21,2.26983598873275,SRCA,2030,TEMOA,SOU,full-base-200
22,2.441378805666617,SRCE,2030,TEMOA,MISO,full-base-200
23,2.4696986571581707,SRSE,2030,TEMOA,SOU,full-base-200
24,2.6033369378608824,SRSG,2030,TEMOA,WECC,full-base-200
25,2.326435714579845,TRE,2030,TEMOA,TRE,full-base-200
26,2.6295154713455355,TREW,2030,TEMOA,TRE,full-base-200
1,3.280468825438819,BASN,2035,TEMOA,WECC,full-base-200
2,3.3576641633303264,CANO,2035,TEMOA,CA,full-base-200
3,3.58755909221723,CASO,2035,TEMOA,CA,full-base-200
4,3.523744559166573,FRCC,2035,TEMOA,SOU,full-base-200
5,72134.32794394011,ISNE,2035,TEMOA,NE,full-base-200
6,3.3774239935358,MISC,2035,TEMOA,MISO,full-base-200
7,3.2760007806367573,MISE,2035,TEMOA,MISO,full-base-200
8,3.3168268030042847,MISS,2035,TEMOA,MISO,full-base-200
9,3.308269164319343,MISW,2035,TEMOA,MISO,full-base-200
10,3.463887229704951,NWPP,2035,TEMOA,WECC,full-base-200
11,2515.4568925410235,NYCW,2035,TEMOA,NE,full-base-200
12,3.25431449037959,NYUP,2035,TEMOA,NE,full-base-200
13,3.401591530338508,PJMC,2035,TEMOA,PJM,full-base-200
14,3.35227415497937,PJMD,2035,TEMOA,PJM,full-base-200
15,3.4476829656383474,PJME,2035,TEMOA,PJM,full-base-200
16,3.64712022563013,PJMW,2035,TEMOA,PJM,full-base-200
17,2.981920565453767,RMRG,2035,TEMOA,WECC,full-base-200
18,3.06944714533535,SPPC,2035,TEMOA,SPP,full-base-200
19,3.001616326672343,SPPN,2035,TEMOA,SPP,full-base-200
20,3.1594100101590623,SPPS,2035,TEMOA,SPP,full-base-200
21,3.278163370700778,SRCA,2035,TEMOA,SOU,full-base-200
22,3.461868908821215,SRCE,2035,TEMOA,MISO,full-base-200
23,3.5272717768392337,SRSE,2035,TEMOA,SOU,full-base-200
24,3.5167820051984178,SRSG,2035,TEMOA,WECC,full-base-200
25,3.592507821575567,TRE,2035,TEMOA,TRE,full-base-200
26,3.208112041000298,TREW,2035,TEMOA,TRE,full-base-200
1,2.153031538373076,BASN,2040,TEMOA,WECC,full-base-200
2,2.251201024305886,CANO,2040,TEMOA,CA,full-base-200
3,2.153456036206106,CASO,2040,TEMOA,CA,full-base-200
4,2.019088357809528,FRCC,2040,TEMOA,SOU,full-base-200
5,106129.9709272886,ISNE,2040,TEMOA,NE,full-base-200
6,2.137730479786246,MISC,2040,TEMOA,MISO,full-base-200
7,2.272833615566143,MISE,2040,TEMOA,MISO,full-base-200
8,2.029955815361573,MISS,2040,TEMOA,MISO,full-base-200
9,1.7910088421418562,MISW,2040,TEMOA,MISO,full-base-200
10,1176.0523436111382,NWPP,2040,TEMOA,WECC,full-base-200
11,986.809486959408,NYCW,2040,TEMOA,NE,full-base-200
12,2.4202509734877427,NYUP,2040,TEMOA,NE,full-base-200
13,2.5011384263525698,PJMC,2040,TEMOA,PJM,full-base-200
14,2.1928546957049067,PJMD,2040,TEMOA,PJM,full-base-200
15,1.9792086121061103,PJME,2040,TEMOA,PJM,full-base-200
16,2.08720024734134,PJMW,2040,TEMOA,PJM,full-base-200
17,2.0480406074156394,RMRG,2040,TEMOA,WECC,full-base-200
18,2.1305781099730376,SPPC,2040,TEMOA,SPP,full-base-200
19,2.083637452754558,SPPN,2040,TEMOA,SPP,full-base-200
