case,tech_type,planning_year,value,min,max
full-current-policies-retire,Nuclear,2045,543462938.5,430575777.0,838989945.0
full-current-policies-retire,Solar,2045,1213067537.5,1119724506.0,1266929471.0
full-current-policies-retire,Wind,2045,1900299653.5,1565294663.0,2050899534.0
full-current-policies-retire,Battery,2050,70305194.0,41373074.0,89681168.0
full-current-policies-retire,CCS,2050,49277797.3,7457319.0,119285827.0
full-current-policies-retire,Coal,2050,395628508.8,293664903.0,485411350.0
full-current-policies-retire,Distributed Solar,2050,216034047.0,214012074.0,218011717.0
full-current-policies-retire,Geothermal,2050,13756905.8,7131854.0,16100880.0
full-current-policies-retire,Hydro,2050,305739651.5,275045775.0,317500696.0
full-current-policies-retire,Hydrogen,2050,121685.2,132.0,315040.0
full-current-policies-retire,Natural Gas CC,2050,2358855921.8,2205424031.0,2486416790.0
full-current-policies-retire,Natural Gas CT,2050,14095239.5,13460619.0,14548135.0
full-current-policies-retire,Nuclear,2050,475345778.2,339860987.0,839849875.0
full-current-policies-retire,Solar,2050,1311943491.0,1276268421.0,1348023024.0
full-current-policies-retire,Wind,2050,1935979363.2,1621809688.0,2079694275.0
full-current-policies-retire-high-coal,Battery,2027,15275312.0,14030681.0,16519943.0
full-current-policies-retire-high-coal,CCS,2027,494077.0,41000.0,947154.0
full-current-policies-retire-high-coal,Coal,2027,57730024.5,57079274.0,58380775.0
full-current-policies-retire-high-coal,Distributed Solar,2027,92413758.0,92388651.0,92438865.0
full-current-policies-retire-high-coal,Geothermal,2027,15960647.5,15956542.0,15964753.0
full-current-policies-retire-high-coal,Hydro,2027,304969668.5,304793431.0,305145906.0
full-current-policies-retire-high-coal,Hydrogen,2027,30294.0,6950.0,53638.0
full-current-policies-retire-high-coal,Natural Gas CC,2027,1409409461.5,1405643436.0,1413175487.0
full-current-policies-retire-high-coal,Natural Gas CT,2027,47494442.5,47086737.0,47902148.0
full-current-policies-retire-high-coal,Nuclear,2027,816770893.0,816488495.0,817053291.0
full-current-policies-retire-high-coal,Solar,2027,327166166.5,324994754.0,329337579.0
full-current-policies-retire-high-coal,Wind,2027,1189577470.0,1186083465.0,1193071475.0
full-current-policies-retire-high-coal,Battery,2030,20154051.5,18266598.0,22041505.0
full-current-policies-retire-high-coal,CCS,2030,614945.0,160990.0,1068900.0
full-current-policies-retire-high-coal,Coal,2030,53571291.5,53189931.0,53952652.0
full-current-policies-retire-high-coal,Distributed Solar,2030,138562366.0,138407434.0,138717298.0
full-current-policies-retire-high-coal,Geothermal,2030,15761021.5,15738199.0,15783844.0
full-current-policies-retire-high-coal,Hydro,2030,312137360.0,311709962.0,312564758.0
full-current-policies-retire-high-coal,Hydrogen,2030,22733.0,12352.0,33114.0
full-current-policies-retire-high-coal,Natural Gas CC,2030,1211554669.5,1209897434.0,1213211905.0
full-current-policies-retire-high-coal,Natural Gas CT,2030,35961619.5,35607563.0,36315676.0
full-current-policies-retire-high-coal,Nuclear,2030,795635770.5,795545540.0,795726001.0
full-current-policies-retire-high-coal,Solar,2030,551164192.0,543390886.0,558937498.0
full-current-policies-retire-high-coal,Wind,2030,1455557030.0,1447411309.0,1463702751.0
full-current-policies-retire-high-coal,Battery,2035,40064238.0,31016763.0,49111713.0
full-current-policies-retire-high-coal,CCS,2035,7769281.0,3064631.0,12473931.0
full-current-policies-retire-high-coal,Coal,2035,43348430.0,39980918.0,46715942.0
full-current-policies-retire-high-coal,Distributed Solar,2035,178433921.0,178194282.0,178673560.0
full-current-policies-retire-high-coal,Geothermal,2035,15302644.5,15241342.0,15363947.0
full-current-policies-retire-high-coal,Hydro,2035,319362118.5,319137637.0,319586600.0
full-current-policies-retire-high-coal,Hydrogen,2035,26366.5,9048.0,43685.0
full-current-policies-retire-high-coal,Natural Gas CC,2035,1401285087.5,1369508559.0,1433061616.0
full-current-policies-retire-high-coal,Natural Gas CT,2035,30145999.0,28352990.0,31939008.0
full-current-policies-retire-high-coal,Nuclear,2035,785225922.0,784928049.0,785523795.0
full-current-policies-retire-high-coal,Solar,2035,912490770.5,910545029.0,914436512.0
full-current-policies-retire-high-coal,Wind,2035,1780944385.0,1762279046.0,1799609724.0
full-current-policies-retire-high-coal,Battery,2040,102992472.0,75332607.0,130652337.0
full-current-policies-retire-high-coal,CCS,2040,84161118.0,74410633.0,93911603.0
full-current-policies-retire-high-coal,Coal,2040,39593316.0,35878602.0,43308030.0
full-current-policies-retire-high-coal,Distributed Solar,2040,186683699.5,186434724.0,186932675.0
full-current-policies-retire-high-coal,Geothermal,2040,15072935.5,15029910.0,15115961.0
full-current-policies-retire-high-coal,Hydro,2040,319524201.5,318817871.0,320230532.0
full-current-policies-retire-high-coal,Hydrogen,2040,36311.0,18422.0,54200.0
full-current-policies-retire-high-coal,Natural Gas CC,2040,1661216092.5,1606793688.0,1715638497.0
full-current-policies-retire-high-coal,Natural Gas CT,2040,22961136.5,21774085.0,24148188.0
full-current-policies-retire-high-coal,Nuclear,2040,424341101.5,398841490.0,449840713.0
full-current-policies-retire-high-coal,Solar,2040,1292022148.5,1245077201.0,1338967096.0
full-current-policies-retire-high-coal,Wind,2040,1977536850.0,1955458667.0,1999615033.0
full-current-policies-retire-high-coal,Battery,2045,103199722.5,71897987.0,134501458.0
full-current-policies-retire-high-coal,CCS,2045,15967852.0,11667153.0,20268551.0
full-current-policies-retire-high-coal,Coal,2045,37743805.0,33487316.0,42000294.0
full-current-policies-retire-high-coal,Distributed Solar,2045,200637180.0,200569038.0,200705322.0
full-current-policies-retire-high-coal,Geothermal,2045,15894056.5,15881264.0,15906849.0
full-current-policies-retire-high-coal,Hydro,2045,316173861.5,316097768.0,316249955.0
full-current-policies-retire-high-coal,Hydrogen,2045,27918.5,23524.0,32313.0
full-current-policies-retire-high-coal,Natural Gas CC,2045,2332145239.0,2284587815.0,2379702663.0
full-current-policies-retire-high-coal,Natural Gas CT,2045,20038980.0,18675066.0,21402894.0
full-current-policies-retire-high-coal,Nuclear,2045,434567593.5,409871557.0,459263630.0
full-current-policies-retire-high-coal,Solar,2045,1318014655.5,1273142594.0,1362886717.0
full-current-policies-retire-high-coal,Wind,2045,2029939714.0,2006820385.0,2053059043.0
full-current-policies-retire-high-coal,Battery,2050,108980292.0,74792253.0,143168331.0
full-current-policies-retire-high-coal,CCS,2050,13831903.0,9647260.0,18016546.0
full-current-policies-retire-high-coal,Coal,2050,32651104.5,27785570.0,37516639.0
full-current-policies-retire-high-coal,Distributed Solar,2050,214594128.5,214497668.0,214690589.0
full-current-policies-retire-high-coal,Geothermal,2050,15878439.0,15831953.0,15924925.0
full-current-policies-retire-high-coal,Hydro,2050,315844965.0,315159758.0,316530172.0
full-current-policies-retire-high-coal,Hydrogen,2050,131439.5,25915.0,236964.0
full-current-policies-retire-high-coal,Natural Gas CC,2050,2649661844.0,2596510624.0,2702813064.0
full-current-policies-retire-high-coal,Natural Gas CT,2050,18889245.5,16829307.0,20949184.0
full-current-policies-retire-high-coal,Nuclear,2050,347136020.0,333623824.0,360648216.0
full-current-policies-retire-high-coal,Solar,2050,1396721027.0,1354823503.0,1438618551.0
full-current-policies-retire-high-coal,Wind,2050,2052310227.0,2033156661.0,2071463793.0
full-current-policies-retire-low-gas,Battery,2027,13227858.5,13093678.0,13362039.0
full-current-policies-retire-low-gas,CCS,2027,556882.5,4889.0,1108876.0
full-current-policies-retire-low-gas,Coal,2027,208082352.5,200645008.0,215519697.0
full-current-policies-retire-low-gas,Distributed Solar,2027,92831669.0,92825427.0,92837911.0
full-current-policies-retire-low-gas,Geothermal,2027,16032565.5,16025880.0,16039251.0
full-current-policies-retire-low-gas,Hydro,2027,304124440.5,304014157.0,304234724.0
full-current-policies-retire-low-gas,Hydrogen,2027,34010.5,709.0,67312.0
full-current-policies-retire-low-gas,Natural Gas CC,2027,1470277317.5,1470214381.0,1470340254.0
full-current-policies-retire-low-gas,Natural Gas CT,2027,45810304.5,45525635.0,46094974.0
full-current-policies-retire-low-gas,Nuclear,2027,830656473.5,830300593.0,831012354.0
full-current-policies-retire-low-gas,Solar,2027,280490067.5,279190935.0,281789200.0
full-current-policies-retire-low-gas,Wind,2027,1007587361.5,1003957746.0,1011216977.0
full-current-policies-retire-low-gas,Battery,2030,18705810.5,18638171.0,18773450.0
full-current-policies-retire-low-gas,CCS,2030,721136.5,13449.0,1428824.0
full-current-policies-retire-low-gas,Coal,2030,210938465.5,204355497.0,217521434.0
full-current-policies-retire-low-gas,Distributed Solar,2030,139337046.5,139299193.0,139374900.0
full-current-policies-retire-low-gas,Geothermal,2030,15977885.0,15971115.0,15984655.0
full-current-policies-retire-low-gas,Hydro,2030,309868745.5,309322321.0,310415170.0
full-current-policies-retire-low-gas,Hydrogen,2030,48099.5,2212.0,93987.0
