Zone,1,2,3,4,5,6,7,8,9,10,11
t62,-5.650747972980295e-10,-5.861358711272192e-9,-7.761593769738092e-9,-3.850594582236966e-9,-3.821679897907986e-8,-6.302842549512948e-9,-3.6025341000339624e-9,-1.0881640301863392e-9,-2.9296967033276534e-9,-4.806232901043369e-10,-1.4918185868823006e-10
t63,-5.716726627824241e-10,-5.8941200304112935e-9,-7.806238633201788e-9,-3.876088036583894e-9,-3.84153099918772e-8,-6.343095197080175e-9,-3.6258380161337097e-9,-1.0940425636140699e-9,-2.9517744920949954e-9,-4.831611233289845e-10,-1.5104949245179582e-10
t64,-5.764398539565471e-10,-5.917153899136972e-9,-7.841290491689942e-9,-3.8909183865456116e-9,-3.861302973805385e-8,-6.371970153494664e-9,-3.639203059771601e-9,-1.097870211152961e-9,-2.9631258949322753e-9,-4.802889291827435e-10,-1.5164054367271548e-10
t65,-6.53571259858306e-10,-5.87828732157273e-9,-7.79276370061335e-9,-3.863776461021317e-9,-3.8392733802591335e-8,-6.322703828110505e-9,-3.615197776571322e-9,-1.0918956496062128e-9,-2.9419938362361142e-9,-4.607117261126036e-10,-1.4812003789590308e-10
t66,-5.440419055270771e-10,-5.775376563446358e-9,-7.63493739537803e-9,-3.797026296301826e-9,-3.7611687228978545e-8,-6.208500707910052e-9,-3.555305666953668e-9,-1.075305742636726e-9,-2.892695986918803e-9,-4.741917175231489e-10,-1.3980846429959494e-10
t67,-5.027638789169581e-10,-5.258733414509517e-9,-6.91198955263008e-9,-3.4474044276562218e-9,-3.4004063166897885e-8,-5.618310602751859e-9,-3.2491591228657695e-9,-9.889840658423015e-10,-2.6331742467768407e-9,-4.199543677464508e-10,-1.3191864301103213e-10
t68,-5.080621088699239e-10,-5.21082873926629e-9,-6.844044298460088e-9,-3.4163832499172414e-9,-3.3543805773798306e-8,-5.569234624144191e-9,-3.2188979818376394e-9,-9.811686087733282e-10,-2.6072340115342453e-9,-4.2713156131911906e-10,-1.3304916855165113e-10
t69,-5.301802314931089e-10,-5.372265381386707e-9,-7.071629402378127e-9,-3.5259931153005834e-9,-3.462689694754049e-8,-5.746094359716394e-9,-3.316837998113033e-9,-1.0080697014059218e-9,-2.6893519683704524e-9,-4.4169050268241976e-10,-1.3654278685627968e-10
t70,-5.5119395331551e-10,-5.540528747265868e-9,-7.310539546678398e-9,-3.6372499007551204e-9,-3.596944354072758e-8,-5.941963763718912e-9,-3.415729625677601e-9,-1.0362832540675718e-9,-2.7737962716122997e-9,-4.5774060679946005e-10,-1.41988089905036e-10
t71,-5.810966118016835e-10,-5.764960569733384e-9,-7.616163226560516e-9,-3.785961873368575e-9,-3.760349875748861e-8,-6.190607166302597e-9,-3.5466737585430826e-9,-1.0725037100234445e-9,-2.885495595475494e-9,-4.825473347416929e-10,-1.493346426441879e-10
