model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p4_Mod_Elect_Low_RE,3,NY_Z_B_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,all,1,0,MWh,0.5036479428521575
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,3.163200931214347
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,1.0035347068154843
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,all,1,0,MWh,0.5086443340184353
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,all,1,0,MWh,0.5293645689347696
p4_Mod_Elect_Low_RE,5,NY_Z_D_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,2.810214982790296
p4_Mod_Elect_Low_RE,5,NY_Z_D_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,0.9437079275640976
p4_Mod_Elect_Low_RE,5,NY_Z_D_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,all,1,0,MWh,0.4897936632761844
p4_Mod_Elect_Low_RE,5,NY_Z_D_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,all,1,0,MWh,0.5106587173814799
p4_Mod_Elect_Low_RE,6,NY_Z_F_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,3.773404415843316
p4_Mod_Elect_Low_RE,6,NY_Z_F_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,1.0703473341667944
p4_Mod_Elect_Low_RE,6,NY_Z_F_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,all,1,0,MWh,0.5325605226869359
p4_Mod_Elect_Low_RE,6,NY_Z_F_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,all,1,0,MWh,0.5513002671282993
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,5.637435650543938
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,all,1,0,MWh,1.238902736664484
