Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,184,16379.0,1413.0,1070.0,2120.0,242.0,1307.0,2343.0,8858.0,2796.0,22183.0,79925.0
,,,,,,,,185,16880.0,1449.0,1097.0,2173.0,249.0,1339.0,2405.0,9063.0,2875.0,22888.0,82741.0
,,,,,,,,186,17419.0,1465.0,1109.0,2198.0,252.0,1353.0,2434.0,9153.0,2913.0,23127.0,84254.0
,,,,,,,,187,16607.0,1378.0,1044.0,2068.0,236.0,1275.0,2290.0,8619.0,2739.0,21658.0,80084.0
,,,,,,,,188,15286.0,1284.0,973.0,1926.0,220.0,1188.0,2129.0,8048.0,2543.0,20082.0,74418.0
,,,,,,,,189,14868.0,1273.0,964.0,1910.0,218.0,1179.0,2108.0,7993.0,2514.0,19976.0,72463.0
,,,,,,,,190,14931.0,1257.0,952.0,1885.0,215.0,1164.0,2078.0,7908.0,2474.0,19229.0,70635.0
,,,,,,,,191,14101.0,1157.0,876.0,1736.0,198.0,1073.0,1911.0,7294.0,2272.0,17399.0,65056.0
,,,,,,,,192,12555.0,1047.0,793.0,1571.0,180.0,971.0,1727.0,6610.0,2051.0,15666.0,59039.0
,,,,,,,,193,12703.0,1147.0,868.0,1720.0,196.0,1063.0,1892.0,7234.0,2247.0,16884.0,66309.0
,,,,,,,,194,11552.0,1081.0,818.0,1622.0,186.0,1003.0,1782.0,6830.0,2115.0,15800.0,61927.0
,,,,,,,,195,10820.0,1034.0,783.0,1552.0,177.0,959.0,1704.0,6540.0,2021.0,15077.0,59079.0
,,,,,,,,196,10426.0,1016.0,769.0,1525.0,174.0,943.0,1674.0,6428.0,1984.0,14813.0,57592.0
,,,,,,,,197,10198.0,1014.0,767.0,1521.0,174.0,941.0,1670.0,6417.0,1978.0,14851.0,57541.0
,,,,,,,,198,10433.0,1064.0,806.0,1597.0,182.0,987.0,1752.0,6731.0,2077.0,15752.0,60061.0
,,,,,,,,199,11276.0,1158.0,877.0,1738.0,198.0,1074.0,1911.0,7310.0,2270.0,17184.0,64695.0
,,,,,,,,200,12762.0,1290.0,977.0,1934.0,221.0,1195.0,2131.0,8121.0,2535.0,18935.0,69970.0
,,,,,,,,201,14263.0,1393.0,1055.0,2089.0,238.0,1290.0,2302.0,8765.0,2740.0,20247.0,75109.0
,,,,,,,,202,15176.0,1471.0,1113.0,2206.0,252.0,1362.0,2431.0,9253.0,2893.0,21200.0,79902.0
