Constraint,CapRes_1,CapRes_2,CapRes_3
t137,3.224703657056904e-10,3.581436358021391e-10,4.040985176297224e-11
t138,3.9619119476330496e-10,7.995037962277258e-10,4.614934754734156e-11
t139,4.688316833964325e-10,6.368490512045664e-10,6.139546188125686e-11
t140,3.0999104420093105e-10,8.481399659186583e-10,1.253938738778369e-10
t141,2.9656029856362077e-10,6.495407863960912e-10,7.864796474450419e-11
t142,3.366313468491402e-10,5.958542092987526e-10,7.652865546278526e-11
t143,2.8714060779186817e-10,4.4079780781061715e-10,8.618730469644611e-11
t144,2.461384029955353e-10,3.0933965887064005e-10,5.318841312632933e-11
t145,1.7524944577947356e-10,3.0738454009900725e-10,-5.092458440034329e-12
t146,1.8526385469975044e-10,3.173519259259668e-10,4.074048122234589e-11
t147,1.7135228522395995e-10,2.3715039788463714e-10,4.217938275467105e-11
t148,2.55114746853545e-10,2.2720183626882142e-10,4.0281421594393365e-11
t149,1.6368633343142675e-10,2.835116182459696e-10,5.463292304859584e-11
t150,1.6599721356837788e-10,2.8662438463006273e-10,9.139753364142723e-11
t151,1.9064968699040808e-10,3.0366265403505473e-10,2.6020055620350075e-11
t152,1.8535379641305942e-10,2.7584613467027467e-10,4.762636057039526e-11
t153,2.2803942135390154e-10,2.3209268646722765e-10,5.4274249314586106e-11
t154,2.3724109812286905e-10,2.147838466156755e-10,5.627941714381827e-11
t155,2.2453806259402744e-10,1.9570449269873543e-10,4.086353223034588e-11
t156,2.342857680713694e-10,1.7977367242224772e-10,3.504446484851233e-11
t157,2.69585594885099e-10,1.6763150943192244e-10,3.511348436323297e-11
t158,2.584145899052034e-10,1.7627631733690565e-10,-5.5483156198729585e-11
t159,2.933316314678419e-10,2.2026060216008847e-10,-5.898885230224101e-11
t160,2.597111064873075e-10,2.0894063854209907e-10,9.837833130906108e-11
t161,2.7188312086187524e-10,2.11433016424754e-10,9.981455073670926e-11
t162,2.6597750538136815e-10,2.6222355974907604e-10,4.0607177425457726e-11
t163,3.5022612208644814e-10,3.719851196686477e-10,4.817751100069938e-11
t164,3.603367642303358e-10,5.799167752692951e-10,-1.5507345462912755e-11
t165,3.61070646895118e-10,5.479230835817975e-10,6.373961633328229e-11
t166,3.387478940793935e-10,3.665597210162344e-10,5.4774217286864853e-11
