line_name,planning_year,case,start_region,dest_region,value
MISC_to_PJMW,2050,full-base-200,MISC,PJMW,1903.25
MISC_to_PJMW,2045,full-base-200,MISC,PJMW,2128.0
NWPP_to_SPPN,2035,full-base-200,NWPP,SPPN,641.0
NWPP_to_SPPN,2040,full-base-200,NWPP,SPPN,667.5
MISC_to_PJMW,2040,full-base-200,MISC,PJMW,2158.25
NWPP_to_SPPN,2045,full-base-200,NWPP,SPPN,845.25
MISC_to_PJMW,2035,full-base-200,MISC,PJMW,815.75
NWPP_to_SPPN,2050,full-base-200,NWPP,SPPN,508.0
NYCW_to_NYUP,2027,full-base-200,NYCW,NYUP,0.0
MISC_to_PJMW,2030,full-base-200,MISC,PJMW,10.666666666666666
NYCW_to_NYUP,2030,full-base-200,NYCW,NYUP,1956.75
NWPP_to_SPPN,2030,full-base-200,NWPP,SPPN,790.75
MISW_to_SPPN,2050,full-base-200,MISW,SPPN,7.666666666666667
MISC_to_SPPC,2045,full-base-200,MISC,SPPC,1232.5
MISW_to_SPPN,2045,full-base-200,MISW,SPPN,17.333333333333332
MISW_to_PJMC,2035,full-base-200,MISW,PJMC,129.66666666666666
MISW_to_PJMC,2040,full-base-200,MISW,PJMC,1124.0
MISC_to_SPPS,2030,full-base-200,MISC,SPPS,3438.25
MISW_to_PJMC,2045,full-base-200,MISW,PJMC,1152.75
MISC_to_SPPS,2027,full-base-200,MISC,SPPS,0.0
MISW_to_PJMC,2050,full-base-200,MISW,PJMC,4.0
MISW_to_SPPC,2027,full-base-200,MISW,SPPC,1.0
MISC_to_SPPN,2050,full-base-200,MISC,SPPN,750.0
MISW_to_SPPC,2030,full-base-200,MISW,SPPC,29.5
MISC_to_SPPN,2045,full-base-200,MISC,SPPN,493.75
MISW_to_SPPC,2035,full-base-200,MISW,SPPC,8.333333333333334
MISW_to_SPPC,2040,full-base-200,MISW,SPPC,6.333333333333333
MISC_to_SPPN,2040,full-base-200,MISC,SPPN,312.3333333333333
MISW_to_SPPC,2045,full-base-200,MISW,SPPC,216.5
MISC_to_SPPN,2035,full-base-200,MISC,SPPN,425.0
