model,zone,planning_year,case,unit,value,agg_zone
TEMOA,MISW,2030,full-base-200-retire,tons,9372440.0,MISO
TEMOA,NWPP,2030,full-base-200-retire,tons,945592.0,WECC
TEMOA,NYCW,2030,full-base-200-retire,tons,6857320.0,NE
TEMOA,NYUP,2030,full-base-200-retire,tons,4998960.0,NE
TEMOA,PJMC,2030,full-base-200-retire,tons,3539530.0,PJM
TEMOA,PJMD,2030,full-base-200-retire,tons,3281980.0,PJM
TEMOA,PJME,2030,full-base-200-retire,tons,27612700.0,PJM
TEMOA,PJMW,2030,full-base-200-retire,tons,20642600.0,PJM
TEMOA,RMRG,2030,full-base-200-retire,tons,477253.0,WECC
TEMOA,SPPC,2030,full-base-200-retire,tons,674329.0,SPP
TEMOA,SPPN,2030,full-base-200-retire,tons,135188.0,SPP
TEMOA,SPPS,2030,full-base-200-retire,tons,3465020.0,SPP
TEMOA,SRCA,2030,full-base-200-retire,tons,5919120.0,SOU
TEMOA,SRCE,2030,full-base-200-retire,tons,7937490.0,MISO
TEMOA,SRSE,2030,full-base-200-retire,tons,8348140.0,SOU
TEMOA,SRSG,2030,full-base-200-retire,tons,3205000.0,WECC
TEMOA,TRE,2030,full-base-200-retire,tons,14472300.0,TRE
TEMOA,TREW,2030,full-base-200-retire,tons,2280390.0,TRE
TEMOA,BASN,2035,full-base-200-retire,tons,2761510.0,WECC
TEMOA,CANO,2035,full-base-200-retire,tons,2557820.0,CA
TEMOA,CASO,2035,full-base-200-retire,tons,4207580.0,CA
TEMOA,FRCC,2035,full-base-200-retire,tons,7445920.0,SOU
TEMOA,ISNE,2035,full-base-200-retire,tons,11595200.0,NE
TEMOA,MISC,2035,full-base-200-retire,tons,7939060.0,MISO
TEMOA,MISE,2035,full-base-200-retire,tons,4858750.0,MISO
TEMOA,MISS,2035,full-base-200-retire,tons,8392350.0,MISO
TEMOA,MISW,2035,full-base-200-retire,tons,6798860.0,MISO
TEMOA,NWPP,2035,full-base-200-retire,tons,1178250.0,WECC
TEMOA,NYCW,2035,full-base-200-retire,tons,3970840.0,NE
TEMOA,NYUP,2035,full-base-200-retire,tons,2959540.0,NE
TEMOA,PJMC,2035,full-base-200-retire,tons,2328340.0,PJM
TEMOA,PJMD,2035,full-base-200-retire,tons,2299150.0,PJM
TEMOA,PJME,2035,full-base-200-retire,tons,15267200.0,PJM
TEMOA,PJMW,2035,full-base-200-retire,tons,12943600.0,PJM
TEMOA,RMRG,2035,full-base-200-retire,tons,403500.0,WECC
TEMOA,SPPC,2035,full-base-200-retire,tons,437571.0,SPP
TEMOA,SPPN,2035,full-base-200-retire,tons,111153.0,SPP
TEMOA,SPPS,2035,full-base-200-retire,tons,2350310.0,SPP
TEMOA,SRCA,2035,full-base-200-retire,tons,4110920.0,SOU
TEMOA,SRCE,2035,full-base-200-retire,tons,5393280.0,MISO
TEMOA,SRSE,2035,full-base-200-retire,tons,5875900.0,SOU
