Constraint,CapRes_1,CapRes_2,CapRes_3
t325,4.931681947541966e-9,6.165660234608778e-9,7.926388450604168e-10
t326,4.838911806219513e-9,6.418812033787327e-9,7.967566586571669e-10
t327,5.076360552039352e-9,7.14694370432806e-9,8.222956279734135e-10
t328,5.6011238664362655e-9,7.614904142762349e-9,9.076355634830825e-10
t329,9.553648430198077e-9,1.1784719057288417e-8,1.200446363795169e-9
t330,8.053216155893999e-9,1.745533929492301e-8,4.1624984638168275e-9
t331,8.745511529628523e-9,1.883330841339803e-8,5.221833813939737e-9
t332,7.314026542023195e-9,1.4903387077170477e-8,3.403021366076569e-9
t333,6.8822251017371345e-9,1.4131364081601096e-8,2.7613681728589602e-9
t334,6.27998441250557e-9,1.267149609595916e-8,2.4658974881181055e-9
t335,5.425713889338865e-9,1.1140590002878124e-8,1.988847038556397e-9
t336,4.836238106088443e-9,9.448859890333813e-9,1.7769880546323106e-9
t337,5.02070487985071e-9,9.617315978257616e-9,1.5343740460094106e-9
t338,4.929653701441542e-9,9.375464358830952e-9,1.4295627536694561e-9
t339,4.974404484944725e-9,9.801826365517747e-9,1.408940337531294e-9
t340,5.0420200881695235e-9,1.0201689838323514e-8,1.4489924423076967e-9
t341,5.197746980288643e-9,1.0193576684590771e-8,1.5045375769444275e-9
t342,5.3407370749401616e-9,1.0420449487196e-8,1.8089216067158865e-9
t343,5.91899898574614e-9,1.1651064024280118e-8,2.9500512795790355e-9
t344,7.724204157613746e-9,1.3847707756787417e-8,4.255302611577542e-9
t345,9.727728322413232e-9,1.7973571856236362e-8,4.673386784192734e-9
t346,8.077588191334948e-9,1.1000123837543962e-8,1.6437887253602715e-9
t347,6.830562987567255e-9,7.834677420716896e-9,1.3199244061818446e-9
t348,6.916194678454386e-9,5.840861136018856e-9,1.0911020283441443e-9
t349,6.824854859398069e-9,5.430883752460448e-9,1.0163156690221178e-9
t350,6.211565259779722e-9,5.349043882897315e-9,9.684910768288676e-10
t351,6.832841084227358e-9,5.793867782763115e-9,9.838584319517984e-10
t352,7.151182024690265e-9,8.008683196631346e-9,1.1612047044100708e-9
t353,7.10991228327715e-9,1.811733103323243e-8,1.6137358694920775e-9
t354,1.1766359167506456e-8,8.811852093680064e-8,3.123580709080809e-8
t355,1.2178008185005016e-8,0.02432042855341668,0.07003546470793569
t356,9.43761862004027e-9,1.4140803933335103e-7,4.108446820667799e-8
t357,8.909241540777205e-9,7.611582155850026e-8,1.7080879055485552e-8
t358,7.185169822755467e-9,3.074594239905393e-8,6.832100721442236e-9
t359,6.124279596853345e-9,2.0241732803655077e-8,3.857005387860984e-9
t360,5.617749985727463e-9,1.567031812081296e-8,3.044004544009554e-9
t361,5.732245459825949e-9,1.534409470796622e-8,2.4859407532058204e-9
t362,5.71238732307548e-9,1.2709718677007716e-8,2.1951771282443804e-9
t363,5.715292013282857e-9,1.3233081669685763e-8,1.9359206376224013e-9
t364,5.884098055394044e-9,1.3528550741457568e-8,1.889875355192991e-9
t365,5.969510443287988e-9,1.4086661541478934e-8,2.026750970277834e-9
t366,6.027338195429033e-9,1.4114968325823815e-8,2.498848168053478e-9
t367,6.678081878146651e-9,1.614223855304381e-8,5.337360054584331e-9
t368,8.984001414697193e-9,3.1314989284182266e-8,1.4570787486618385e-8
t369,1.195204519039363e-8,4.4864055551836736e-8,9.991359493037565e-9
t370,8.514251836922699e-9,2.0852700604848104e-8,3.0179420374358783e-9
t371,7.86713527747409e-9,1.4592693530912287e-8,1.804090980364698e-9
t372,9.166771610383898e-9,9.295984463429034e-9,1.9780243587356686e-9
