Region,Resource,Zone,Cluster,AnnualSum
NY_Z_J,NY_Z_J_nuclear_nuclear_moderate_0,8,0,0.031647030392610964
NY_Z_J,NY_Z_J_naturalgas_ccs100_moderate_0,8,0,0.05312074851030184
NY_Z_K,NY_Z_K_naturalgas_ccavgcf_moderate_0,9,0,0.11327449995211304
NY_Z_K,NY_Z_K_naturalgas_ctavgcf_moderate_0,9,0,0.08280392757432004
NY_Z_K,NY_Z_K_nuclear_nuclear_moderate_0,9,0,0.042036228085577845
NY_Z_K,NY_Z_K_naturalgas_ccs100_moderate_0,9,0,0.03599756373667087
PJM_EMAC,PJM_EMAC_naturalgas_ccavgcf_moderate_0,10,0,0.2816978921317455
PJM_EMAC,PJM_EMAC_naturalgas_ctavgcf_moderate_0,10,0,0.28657186654976896
PJM_EMAC,PJM_EMAC_nuclear_nuclear_moderate_0,10,0,0.034599993359618844
PJM_EMAC,PJM_EMAC_naturalgas_ccs100_moderate_0,10,0,0.042068268981005685
PJM_Rest,PJM_Rest_naturalgas_ccccsavgcf_moderate_0,11,0,0.061254921552825345
PJM_Rest,PJM_Rest_naturalgas_ccavgcf_moderate_0,11,0,0.3627208619086633
PJM_Rest,PJM_Rest_naturalgas_ctavgcf_moderate_0,11,0,0.05740287958527549
PJM_Rest,PJM_Rest_nuclear_nuclear_moderate_0,11,0,0.051784968483984915
PJM_Rest,PJM_Rest_naturalgas_ccs100_moderate_0,11,0,0.039052480008192995
NENG_Rest,NENG_Rest_offshore_wind_turbine_1,1,1,0.0
NENG_Rest,NENG_Rest_onshore_wind_turbine_1,1,1,0.05557986110421927
NENG_Rest,NENG_Rest_solar_photovoltaic_1,1,1,182653.0105038691
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,2,1,0.0077462172287959905
NY_Z_A,NY_Z_A_solar_photovoltaic_1,2,1,0.004054269556804059
NY_Z_B,NY_Z_B_onshore_wind_turbine_1,3,1,0.0
NY_Z_B,NY_Z_B_solar_photovoltaic_1,3,1,0.004208958837194788
NY_Z_C&E,NY_Z_C&E_onshore_wind_turbine_1,4,1,0.011233834272153503
NY_Z_C&E,NY_Z_C&E_solar_photovoltaic_1,4,1,0.005527847301572087
NY_Z_D,NY_Z_D_onshore_wind_turbine_1,5,1,185187.0496194691
NY_Z_D,NY_Z_D_solar_photovoltaic_1,5,1,379.2528710115874
NY_Z_F,NY_Z_F_solar_photovoltaic_1,6,1,1997.9783873374101
NY_Z_G-I,NY_Z_G-I_solar_photovoltaic_1,7,1,0.0019847154284788945
PJM_EMAC,PJM_EMAC_solar_photovoltaic_1,10,1,0.007276625295624794
PJM_Rest,PJM_Rest_onshore_wind_turbine_1,11,1,2.3194148586416305e6
PJM_Rest,PJM_Rest_solar_photovoltaic_1,11,1,0.00641173174336621
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_0,1,0,0.03294499116363904
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_1,1,1,173786.544552601
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_2,1,2,1.3810349765380076e6
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_3,1,3,0.014364684955954183
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_4,1,4,0.02502516089355893
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_1_5,1,5,0.053819332069979256
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_0,1,0,525423.6404717558
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_1,1,1,623979.2037345386
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_2,1,2,0.08038665537567556
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_3,1,3,177780.86745304023
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_4,1,4,135245.5617934497
NENG_Rest,NENG_Rest_offshorewind_class3_advanced_fixed_0_5,1,5,0.017182091383903714
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_0,1,0,0.021667238532778955
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_1,1,1,0.014416850110270331
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_2,1,2,0.008921671270109174
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_3,1,3,0.016192260831947695
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_4,1,4,0.00618981204978424
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_5,1,5,0.005822343689849811
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_0,1,0,0.004623125536424327
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_1,1,1,0.005801701850433362
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_2,1,2,0.007047641279764998
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_3,1,3,0.008990106569771728
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_4,1,4,0.01577271581740111
NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_5,1,5,0.013037637422937218
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_1,1,1,2.11096892456482e6
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_2,1,2,0.2677099863873729
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_3,1,3,0.01151515235330025
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_4,1,4,2.366275981253537e6
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_5,1,5,0.002833129004215349
