region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,Total
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_3,1,3,152,4.814289892696852e-13,0.001757248449314918,0.0,0.0,0.0,0.0,0.001757248449796347
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_4,1,4,153,9.161949415495681e-14,0.00033441736500962484,0.0,0.0,0.0,0.0,0.0003344173651012443
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_5,1,5,154,3.660994367082819e-13,0.0013362877636982438,0.0,0.0,0.0,0.0,0.0013362877640643433
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_6,1,6,155,8.192838357263595e-5,299044.1543752667,0.0,0.0,0.0,0.0,299044.1544571951
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_1,2,1,156,0.0,0.0,0.0,0.0,0.0034158974419918934,1.0895373475763136e-14,0.0034158974420027887
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_2,2,2,157,0.0,0.0,0.0,0.0,0.04933405061375447,1.573562777094442e-13,0.04933405061391182
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_3,2,3,158,0.0,0.0,0.0,0.0,0.0028017092507212913,8.936353967146245e-15,0.0028017092507302277
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_4,2,4,159,0.0,0.0,0.0,0.0,368112.8779971522,1.1741357447424563e-6,368112.8779983263
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_5,2,5,160,0.0,0.0,0.0,0.0,0.009441648755972153,3.011515748649199e-14,0.009441648756002268
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_6,2,6,161,0.0,0.0,0.0,0.0,0.011139797256075284,3.5531585362365705e-14,0.011139797256110816
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_1,2,1,162,0.0,0.0,0.0,0.0,1.10348231095381e6,3.5196758994992343e-6,1.1034823109573298e6
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_2,2,2,163,0.0,0.0,0.0,0.0,0.0038357151379088536,1.223442731634987e-14,0.003835715137921088
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_3,2,3,164,0.0,0.0,0.0,0.0,0.0009291800644125151,2.9637200764741297e-15,0.0009291800644154787
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_4,2,4,165,0.0,0.0,0.0,0.0,0.005478699878891822,1.747490443019171e-14,0.005478699878909297
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_5,2,5,166,0.0,0.0,0.0,0.0,0.0015230434209504453,4.857911331606779e-15,0.0015230434209553031
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_6,2,6,167,0.0,0.0,0.0,0.0,0.0012577941738814602,4.0118702369724104e-15,0.001257794173885472
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_1,3,1,168,0.0,0.0,0.0,0.0,0.007654386444272347,2.4414491492910503e-14,0.007654386444296762
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_2,3,2,169,0.0,0.0,0.0,0.0,49874.500521312286,1.5908010100559986e-7,49874.50052147137
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_3,3,3,170,0.0,0.0,0.0,0.0,0.01115672533089981,3.5585579283603375e-14,0.011156725330935396
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_4,3,4,171,0.0,0.0,0.0,0.0,128366.74621796964,4.094395881797096e-7,128366.74621837908
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_5,3,5,172,0.0,0.0,0.0,0.0,0.005865466262756641,1.870853754466259e-14,0.005865466262775349
NY_Z_B,NY_Z_B_landbasedwind_class1_advanced_6,3,6,173,0.0,0.0,0.0,0.0,0.01936535110111201,6.176787691051439e-14,0.019365351101173777
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_1,3,1,174,0.0,0.0,0.0,0.0,0.0006817896940512535,2.17464179611992e-15,0.0006817896940534281
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_2,3,2,175,0.0,0.0,0.0,0.0,0.0015389089882157493,4.9085162703368864e-15,0.001538908988220658
NY_Z_B,NY_Z_B_utilitypv_class1_advanced_3,3,3,176,0.0,0.0,0.0,0.0,0.0007934859999755552,2.530909216197589e-15,0.0007934859999780861
